English,Anglish,Kind,Whence,Forebear,Foreword,Afterword,Background
Barnaby,Barnaby,♂,Lastname,-,-,bȳ,A full English kin would be: Bermbur.
Bubsy,Bubsy,♂,Lastname,-,-,bȳ,A full English kin would be: Bushbur (Anglish Spelling: Buscbur).
Carl,Carl,♂,Living,Carl,-,-,From Old Norse ‘Karl’. See also: Churl.
Chelbeam,Celbeam,♂,Quickened,Ċytelbēam,ċytel,bēam,
Chelbarn,Celbarn,♂,Quickened,Ċytelbearn,ċytel,bearn,
Chelbert,Celbert,♂,Quickened,Ċytelbeorht,ċytel,beorht,
Chelbern,Celbern,♂,Quickened,Ċytelbeorn,ċytel,beorn,
Chell,Cell,♀,Lastname,Ċytelo,ċytel,-,Borne by the main player in the American games ‘Portal’ and ‘Portal 2’.
Chellive,Celllife,♀,Quickened,Ċytelġifu,ċytel,ġifu,
Chelthane,Celþane,♂,Quickened,Ċytelþeġn,ċytel,þeġn,
Colby,Colby,♂,Lastname,Cōlbȳ,cōl,bȳ,From Old Norse ‘Kolbýr’. A full English kin would be: Colbur.
Digby,Digby,♂,Lastname,-,-,bȳ,A full English kin would be: Dickbur.
Derby,Derby,♂,Lastname,-,-,bȳ,From Old Norse ‘Djúrbýr’. A full English kin would be: Darbur.
Edchel,Edcel,♂,Quickened,Ēadċytel,ēad,ċytel,
Grimchel,Grimcel,♂,Quickened,Grimċytel,grim,ċytel,
Gunfrith,Gunfriþ,♂,Quickened,Gūnfriþ,gūn,friþ,
Gunleaf,Gunleaf,♂,Quickened,Gūnleof,gūn,leof,
Gunn,Gun,♂,Lastname,Gūnna,gūn,-,
Gunnar,Gunnar,♂,Quickened,Gūnhere,gūn,here,Can also be spelled: Gunner. See also: Guthar.
Gunnild,Gunnild,♂,Quickened,Gūnhild,gūn,hild,See also: Guthild.
Gunning,Gunning,♂,Lastname,Gūnning,gūn,ing,
Gunnolph,Gunnulf,♂,Lastname,Gūnning,gūn,ing,Can also be spelled: Gunnulph (Anglish Spelling: Gunnulf). See also: Gutholph.
Gunstan,Gunstan,♂,Quickened,Gūnstān,gūn,stān,
Gunsey,Gunsey,♂,Quickened,Gūnsiġe,gūn,siġe,
Gunred,Gunred,♂,Quickened,Gūnrǣd,gūn,rǣd,See also: Guthred.
Gunwald,Gunƿald,♂,Quickened,Gūnƿeald,gūn,ƿeald,See also: Guthwald.
Gunward,Gunƿard,♂,Quickened,Gūnƿealrd,gūn,ƿeard,See also: Guthward.
Gunwhat,Gunhƿat,♂,Quickened,Gūnhƿæt,gūn,hƿæt,
Harold,Harold,♂,Living,-,-,-,From Old Norse ‘Haraldr’. See also: Harwald.
Howard,Hoƿard,♂,Living,-,-,ƿeard,From Old Norse ‘Hávarðr’. See also: Heyward.
Hunchel,Huncel,♂,Quickened,Hūnċytel,hūn,ċytel,
Kelby,Kelby,♂,Lastname,-,ċild,bȳ,Also found as: Kilby. A full English kin would be: Chilbur (Anglish Spelling: Cilbur).
Kirby,Kirby,♂,Lastname,Kirkbȳ,kirk,bȳ,From earlier ‘Kirkby’. A full English kin would be: Churchbur (Anglish Spelling: Circbur). Borne by the main player of the Japanese games of the alike name.
Nickleby,Nickelby,♂,Lastname,-,-,bȳ,From the stow-name meaning ‘Nicholas' town’. A more English kin would be: Nicklebur (Anglish Spelling: Nickelbur).
Quenby,Cƿenby,♂,Lastname,-,cƿēn,bȳ,Also found as: Quimby. A full English kin would be: Quembur (Anglish Spelling: Cƿembu).
Shelby,Scelby,♂,Lastname,-,-,bȳ,A full English kin would be: Selbur (Anglish Spelling: Selbur).
Stembern,Stembern,♂,Quickened,Steġenbeorn,steġen,beorn,A full English kin would be: Stambern.
Stembury,Stembury,♀,Quickened,Steġenburg,steġen,burg,See also: Stambury.
Stenard,Stenard,♂,Quickened,Steġenheard,steġen,heard,See also: Stannard.
Stenchel,Stencel,♂,Quickened,Steġenċytel,steġen,ċytel,
Stengrim,Stengrim,♂,Quickened,Steġengrim,steġen,grim,See also: Stangrim.
Stenmer,Stenmer,♂,Quickened,Steġenmǣr,steġen,mǣr,Can also be spelled: Stemmer. See also: Stanmer.
Stenolph,Stenulf,♂,Quickened,Steġenulf,steġen,ulf,Can also be spelled: Stenulph (Anglish Spelling: Stenulf). See also: Stanolph.
Swain,Sƿain,♂,Quickened,-,-,-,"From Old Norse ‘Sveinn’. Borne by Sweyn Folkbeard (963–1014), Viking king of England. See also: Swoon."
Olbert,Ulbert,♂,Quickened,Ulfbeorht,ulf,beorht,See also: Woolbert.
Olbern,Ulbern,♂,Quickened,Ulfbeorn,ulf,beorn,See also: Woolbern.
Olchel,Ulcel,♂,Quickened,Ulfċytel,ulf,ċytel,
